2018/05/25 10:30:02, 19.5, 18.0, 20.7
2018/05/25 13:20:05, 19.5, 18.0, 22.4
2018/05/25 13:44:59, 17.9, 18.0, 23.8
2018/05/25 14:10:06, 19.5, 18.0, 24.1,1
2018/05/25 14:57:37, 17.3, 18.0, 23.9,0
2018/05/30 11:50:05, 19.5, 18.0, 26.4,1
2018/05/31 11:50:04, 23.0, 18.0, 25.4,1
2018/05/31 12:10:21, 17.8, 18.0, 25.5,0
2018/06/04 10:20:08, 23.0, 18.0, 25.1,1
2018/06/04 10:20:16, 16.6, 18.0, 25.1,0
2018/06/04 14:30:02, 31.0, 18.0, 22.6,1
2018/06/04 14:41:28, 31.0, 18.0, 22.0,0
2018/06/08 14:10:08, 19.5, 18.0, 23.8,1
2018/06/11 10:20:08, 23.0, 18.0, 24.6,1
2018/06/11 14:30:08, 25.0, 18.0, 27.0,1
2018/06/13 11:50:01, 19.5, 18.0, 22.6,1
2018/06/14 11:50:02, 23.0, 18.0, 23.7,1
2018/06/20 11:50:09, 19.5, 18.0, 28.5,1
2018/06/22 14:10:04, 19.5, 18.0, 27.3,1
2018/06/27 11:50:09, 19.5, 18.0, 25.6,1
2018/06/28 11:50:03, 23.0, 18.0, 24.8,1
2018/07/02 10:20:02, 23.0, 18.0, 22.2,1
2018/07/02 11:11:36, 17.7, 18.0, 27.1,0
